Country,Population,Land_Area,Pop_Density,Percent_World_Pop
Cabo Verde,554750,4030,138.0,0.01
Maldives,538558,300,1802.0,0.01
Malta,441308,320,1380.0,0.01
Brunei,436624,5270,83.0,0.01
Guadeloupe,400110,1690,237.0,0.01
Belize,396120,22810,17.0,0.01
Bahamas,392477,10010,39.0,0.01
Martinique,375323,1060,354.0,0.00
Iceland,340795,100250,3.0,0.00
Vanuatu,305623,12190,25.0,0.00
French Guiana,297029,82200,4.0,0.00
Barbados,287305,430,668.0,0.00
New Caledonia,284938,18280,16.0,0.00
French Polynesia,280580,3660,77.0,0.00
Mayotte,271417,375,728.0,0.00
Sao Tome & Principe,218308,960,228.0,0.00
Samoa,198147,2830,70.0,0.00
Saint Lucia,183458,610,301.0,0.00
Channel Islands,173536,190,915.0,0.00
Guam,168474,540,313.0,0.00
Curaçao,163958,444,370.0,0.00
Kiribati,119069,810,147.0,0.00
Micronesia,114776,700,164.0,0.00
Grenada,112418,340,331.0,0.00
St. Vincent & Grenadines,110869,390,284.0,0.00
Aruba,106675,180,593.0,0.00
Tonga,105449,720,147.0,0.00
U.S. Virgin Islands,104456,350,298.0,0.00
Seychelles,98224,460,214.0,0.00
Antigua and Barbuda,97764,440,223.0,0.00
Isle of Man,84942,570,149.0,0.00
Andorra,77240,470,164.0,0.00
Dominica,71950,750,96.0,0.00
Cayman Islands,65564,240,274.0,0.00
Bermuda,62323,50,1246.0,0.00
Marshall Islands,59109,180,329.0,0.00
Northern Mariana Islands,57490,460,125.0,0.00
Greenland,56750,410450,0.0,0.00
American Samoa,55215,200,276.0,0.00
Saint Kitts & Nevis,53123,260,205.0,0.00
Faeroe Islands,48826,1396,35.0,0.00
Sint Maarten,42776,34,1261.0,0.00
Monaco,39186,1,26337.0,0.00
Turks and Caicos,38609,950,41.0,0.00
Saint Martin,38529,53,730.0,0.00
Liechtenstein,38106,160,238.0,0.00
San Marino,33917,60,566.0,0.00
Gibraltar,33693,10,3369.0,0.00
British Virgin Islands,30190,150,202.0,0.00
Caribbean Netherlands,26173,328,80.0,0.00
Palau,18077,460,39.0,0.00
Cook Islands,17561,240,73.0,0.00
Anguilla,14976,90,167.0,0.00
Tuvalu,11762,30,393.0,0.00
Wallis & Futuna,11276,140,80.0,0.00
Nauru,10810,20,541.0,0.00
Saint Barthelemy,9871,21,470.0,0.00
Saint Helena,6073,390,16.0,0.00
Saint Pierre & Miquelon,5800,230,25.0,0.00
Montserrat,4991,100,50.0,0.00
Falkland Islands,3458,12170,0.0,0.00
Niue,1624,260,6.0,0.00
Tokelau,1354,10,136.0,0.00
Holy See,801,0,2003.0,0.00
Czechia,10701777,78871,136.0,0.14
Eswatini (Swaziland),1136281,17364,68.2,0
St. Kitts and Nevis,52441,261,164.0,0
Guernsey,62792,65,965.0,0
